Unnamed: 0,0,1,2,3,x,y,best
terminal,0.0,0.0,0.0,0.0,0,0,0
"[20.0, 20.0]",-0.036872316520340266,0.14147111421001246,-0.02388695699512188,-0.030900136207513813,20,20,1
"[60.0, 20.0]",0.03677722619583212,-0.9988209815422262,0.11781705970728812,0.005171159138797425,60,20,2
"[100.0, 20.0]",0.05495711909402989,0.3357527163547133,0.03332606242718212,0.0034143723925792163,100,20,1
"[140.0, 20.0]",0.04202361242880725,-0.7941088679053511,0.03546298071530203,0.15015426284443606,140,20,3
"[20.0, 60.0]",-0.04759741426834478,0.4565330380850801,-0.9749684449500676,0.06532336170602747,20,60,1
"[100.0, 60.0]",0.05839114258530256,0.7627723686711908,-0.9528987130275376,-0.9721871610556306,100,60,1
"[20.0, 100.0]",0.052640735318932416,-0.814697981114816,0.5707803255245847,0.11193043144727853,20,100,2
"[60.0, 100.0]",-0.8499053647030009,0.4916016355731423,0.8128371692286531,0.07375025913450442,60,100,2
"[100.0, 100.0]",0.5157907680508322,0.964423110840963,-0.947665236697264,0.26456461967374106,100,100,1
"[100.0, 140.0]",0.6038876698849861,0.8101510956524343,0.9999999999984348,0.6220339309696887,100,140,2
"[60.0, 140.0]",0.05382264736456917,0.16274874618674995,0.8568724937229728,-0.34390000000000004,60,140,2
